num,name,mage
1,A_test1.csv,165.84545454545457
2,AB_test2.csv,216.01894736842104
3,B_test3.csv,182.28510638297874
4,BC_test4.csv,227.82061855670102
5,C_test5.csv,180.4339285714286
6,CD_test6.csv,189.82556390977444
7,D_test7.csv,161.72608695652175
8,DE_test8.csv,97.72727272727273
9,E_test9.csv,176.90243902439025
10,EF_test10.csv,148.11111111111111
11,F_test11.csv,192.5909090909091
12,FG_test12.csv,120.28571428571429
13,G_test13.csv,137.22093023255815
14,GH_test14.csv,119.63636363636364
15,H_test15.csv,96.27027027027027
16,HI_test16.csv,138.42028985507247
17,I_test17.csv,141.2391304347826
18,IJ_test18.csv,119.9875
19,J_test19.csv,129.1818181818182
20,JK_test20.csv,216.35164835164835
21,K_test21.csv,182.33766233766235
22,KL_test22.csv,222.6218487394958
23,L_test23.csv,212.26582278481013
24,LM_test24.csv,262.06024096385545
25,M_test25.csv,196.2982456140351
26,MN_test26.csv,123.08396946564885
27,N_test27.csv,131.69421487603304
28,NO_test28.csv,104.35955056179775
29,O_test29.csv,108.52427184466019
30,OP_test30.csv,112.6046511627907
31,P_test31.csv,175.66666666666666
32,PQ_test32.csv,228.61
33,Q_test33.csv,208.24444444444444
34,QR_test34.csv,218.67625899280574
35,R_test35.csv,209.63793103448276
36,RS_test36.csv,159.31632653061226
37,S_test37.csv,180.54901960784315
38,ST_test38.csv,177.6829268292683
39,T_test39.csv,227.04
40,TU_test40.csv,116.88372093023256
41,U_test41.csv,112.04347826086956
42,UV_test42.csv,93.1864406779661
43,V_test43.csv,259.8918918918919
44,VW_test44.csv,158.93478260869566
45,W_test45.csv,214.52083333333334
